date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-14,885.0,906.0,886.57,873.0,59983.12,-5.43,-0.61,885.78,911.587,928.668,71991.16,72768.59,56774.59
2019-05-13,898.86,910.98,892.0,884.0,46637.18,-15.12,-1.67,886.466,918.167,930.599,80161.99,70750.41,56830.56
2019-05-10,875.66,910.78,907.12,868.19,79907.38,48.31,5.62,889.266,925.967,933.399,97854.49,70609.4,57889.42
2019-05-09,875.0,879.87,858.81,842.5,91545.15,-25.59,-2.89,902.642,932.75,933.293,89061.65,67503.86,56293.54
2019-05-08,860.0,901.8,884.4,860.0,81882.98,-5.6,-0.63,925.274,941.789,935.362,81267.08,62412.14,55028.88
2019-05-07,893.28,913.94,890.0,870.22,100837.26,-16.0,-1.77,937.394,948.605,934.392,73546.02,57461.82,53723.35
2019-05-06,925.5,935.0,906.0,893.0,135099.69,-68.0,-6.98,949.868,954.155,932.117,61338.84,49337.95,50834.33
2019-04-30,968.0,984.96,974.0,963.11,35943.18,2.03,0.21,962.668,958.755,929.317,43364.3,39904.08,46740.7
2019-04-29,945.0,989.0,971.97,935.0,52572.3,26.97,2.85,962.858,955.345,923.567,45946.07,40952.11,47990.27
2019-04-26,946.3,959.88,945.0,945.0,43277.68,-7.37,-0.77,958.304,948.848,917.668,43557.21,40247.14,49908.35
2019-04-25,968.79,973.99,952.37,951.22,39801.34,-17.63,-1.82,959.816,945.748,910.758,41377.63,40780.59,50622.81
2019-04-24,979.88,990.0,970.0,951.22,45227.0,-4.95,-0.51,958.442,943.031,902.565,37337.06,42910.71,50773.11
2019-04-23,951.0,981.22,974.95,949.2,48852.05,25.75,2.71,954.842,940.83,892.715,36443.87,45169.45,50391.54
2019-04-22,959.5,978.89,949.2,940.61,40627.96,-3.36,-0.35,947.832,933.835,882.747,35958.14,45083.23,49812.46
2019-04-19,943.96,960.95,952.56,931.31,32379.78,7.06,0.75,939.392,928.935,874.987,36937.08,47645.62,49306.94
